s:ticker,shares,buyPrice,soldPrice,s:buyDate,s:soldDate,s:broker,s:note
LABD,1.5, 6660, 23.5,7/6/2016,12/29/2020,ET Mon,split 200:1, $33.3*300
LABD,1.5, 6330, 23.5,7/14/2016,12/29/2020,ET Mon,split 200:1, $31.65*300
SQQQ,  5, 1876.178, ,7/24/2016,,ET Mon,split 80:1, $22.35*400
ATHX,1000,  2.52,2.52,4/15/2016,3/30/2020,ET Mon,
ATHX,1000,  2.52,2.62,4/15/2016,3/30/2020,ET Mon,
ATHX,1000,  1.97,2.5,1/9/2018,3/30/2020,1T IRA,
ATHX,1000,  1.97,2.58,1/9/2018,3/31/2020,1T IRA,
ATHX,1000,  1.97,2.73,1/9/2018,3/31/2020,1T IRA,
VSTM,1000,   3.5,3.75,1/25/2019,4/22/2020,ET Mon,
VSTM,1000,   3.5,4.112,1/25/2019,4/24/2020,ET Mon,
NUGT,150,  28.88,  28.98,10/29/2019,10/30/2019,ET Mon,
NUGT,100,  28.38,  28.48,11/6/2019,12/06/2019,AmTrade,
NUGT,100, 27.952,29.4392,11/6/2019,12/3/2019,1T IRA,
NUGT,100,26.4752,28.48,11/7/2019,12/06/2019,AmTrade,
NUGT,150,   25.8,26.5,11/7/2019,3/2/2020,ET Mon,
LABD,20,   582,,1/24/2019,,ET,split 20:1, $29.1*20
NUGT,200,   27.64,28.9606,12/6/2019,12/12/2019,1T IRA,
NUGT,200,   28.44,33.84,12/13/2019,12/30/2019,1T IRA,
NUGT,100,   31.58,34.01,1/10/2020,1/24/2020,1T IRA,
NUGT,150,   29.88,39.3,1/13/2020,2/25/2020,1T IRA,
NUGT,200,   30.42,31.72,1/14/2020,1/16/2020,AmTrade,
NUGT,200,   31.28,34.3,1/17/2020,2/19/2020,1T IRA,
NUGT,100,    32.2,33.8,1/23/2020,1/31/2020,1T IRA,
NUGT,200,   31.92,33.04,1/28/2020,2/18/2020,1T IRA,
NUGT,100,   30.88,37.9,1/28/2020,2/21/2020,ET,
NUGT,150,    34.9,33.7,2/27/2020,3/5/2020,1T IRA,
NUGT,150,   31.26,33.7,2/27/2020,3/5/2020,1T IRA,
# NUGT,200,    31.2,,3/6/2020,,1T IRA
# NUGT,200,     6.6,,3/13/2020,,1T IRA
NUGT,40,   156,104.5,3/6/2020,7/31/2020,1T IRA,split 5:1
NUGT,40,  33,104.5,3/13/2020,7/31/2020,1T IRA,split 5:1
TRIP,100, 17.6,18.05,4/22/2020,5/6/2020,AmTrade,
ERX,150, 14.36,16.36,4/28/2020,4/30/2020,AmTrade,
VSTM,2000, 1.88,  2,4/30/2020,11/30/2020,1T IRA,
VSTM,2700,  1.8,2.3,5/4/2020,12/9/2020,AmTrade,
SPCE,100,   18,,3/13/2020,,Test *,
VSTM,1000, 1.89,2,5/11/2020,11/30/2020,1T IRA,
NUGT,100,    67,72,12/1/2020,12/7/2020,1T IRA,
WATT,300,  23.5,,1/8/2018,,1T IRA,
GEVO,1000,  2.14,2.85,12/15/2020,12/22/2020,1T IRA,
ATHX,621,  2.21,2.4,12/22/2020,2/18/2021,1T IRA,
ATHX,379,  2.21,2.45,12/22/2020,2/19/2021,1T IRA,
VSTM,1000,  2.34,2.94,12/24/2020,2/17/2021,1T IRA,
ATHX,1200,  1.98,2.03,1/13/2021,1/25/2021,AmTrade,
VSTM,1000,  2.47,,1/13/2021,,AmTrade,
ATHX,1000,  2.21,2.37,1/26/2021,2/2/2021,1T IRA,
ATHX,1000,  2.1,2.35,1/26/2021,2/19/2021,AmTrade,
BCRX,500,9.6299,10.7,2/16/2021,2/18/2021,1T IRA,
QS,100,50.0,56,2/16/2021,2/26/2021,1T IRA,
VSTM,1000,  2.74,2.7615,2/17/2021,2/19/2021,1T IRA,
HOTH,1000,  3.24,,2/18/2021,,AmTrade,
HOTH,1500,  2.72,2.74,2/18/2021,2/23/2021,ET,
XM,100,41.315,,2/23/2021,,1T IRA,
HOTH,1000, 2.28,2.335,2/23/2021,2/26/2021,1T IRA,
VSTM,1000,  2.39,,2/26/2021,,1T IRA,
